마바,40,142
아카,79,144
하바,56,152
사나,57,161
나가,92,186
바자,43,187
타차,52,156
마카,90,188
파파,74,188
가다,41,160
차가,55,161
타하,68,144
차가,87,156
자아,96,178
가다,78,195
하사,87,182
아하,40,147
아다,72,168
가나,64,160
라파,83,160
라자,61,163
파사,80,146
하타,90,150
타하,91,184
차아,53,162
가하,48,182
라타,82,143
마라,90,146
자바,96,147
나바,78,190
파마,90,174
차아,95,157
자아,42,156
아하,67,161
차나,95,151
카나,67,141
나다,85,155
나다,46,188
가바,62,160
하파,75,190
라카,51,142
가나,78,192
하가,60,171
사파,45,183
나자,61,155
차아,93,191
사마,46,157
타파,93,183
하사,79,199
카마,50,178
자하,88,150
라가,53,162
라바,87,182
하카,48,189
아타,70,197
차바,77,151
하아,58,196
나하,68,147
하가,52,152
파바,83,191
마다,76,190
아바,43,158
나가,67,142
차하,93,196
바하,81,154
마가,62,166
라자,90,192
타가,43,197
하자,81,168
사사,98,170
나가,79,190
타카,46,181
카마,54,163
가라,95,184
바마,52,187
아바,67,160
사라,71,147
아마,97,197
타바,57,160
가아,91,155
파가,64,152
아아,98,189
자가,50,167
아하,47,183
아아,61,141
바나,78,188
가자,44,160
파자,71,166
다바,98,150
타타,74,197
아다,75,142
타다,96,157
파타,56,173
바타,49,144
파라,77,196
타타,65,147
타아,42,148
하바,88,169
차다,97,179
자가,63,165
사나,71,171
자바,71,162
아사,68,167
아나,44,166
자가,57,160
마파,65,182
카라,83,143
아차,85,161
타다,57,162
자바,64,166
사타,90,143
사카,82,172
파다,56,141
차라,99,177
타자,87,196
자파,77,193
나가,61,140
타자,73,190
마카,92,173
나파,84,159
나차,91,194
바마,76,152
사다,90,176
바자,86,149
타카,99,148
마바,78,186
파자,95,145
차타,52,162
라사,44,164
마사,41,195
파나,52,184
자라,97,189
라아,40,148
자다,43,178
아자,50,166
자사,75,153
사다,97,199
사바,41,166
다카,77,170
다가,80,188
다타,80,182
아사,53,165
라파,42,165
사카,93,156
마파,49,159
라라,95,148
자카,96,164
마라,82,162
하파,53,149
자아,83,152
타다,40,154
차파,86,158
라마,64,159
자라,88,189
바라,85,142
차타,40,171
차다,89,196
자차,91,195
카차,70,150
라라,95,160
나파,70,170
자차,93,175
하바,52,149
하아,71,186
아타,83,175
마타,97,145
나파,89,148
바하,44,182
사사,91,191
다다,72,180
카가,68,193
파다,81,183
파카,59,190
아나,53,154
사바,76,173
바차,79,181
아차,40,193
차다,67,153
차다,68,170
아차,77,165
라아,86,164
가타,43,153
하사,70,181
다타,84,183
아파,76,180
바차,89,142
사가,46,179
바라,99,159
카라,94,155
아하,80,192
차다,45,178
파사,45,151
마바,64,143
타마,84,165
라사,92,140
가마,88,191
자라,51,165
바다,87,156
파나,69,155
라자,87,164
가라,75,152
마가,72,149
라자,56,164
바파,44,148
파아,74,198
자마,40,196
가타,88,157
카자,48,182
바차,94,199
라하,57,148
차차,91,181
파타,68,184
나카,46,197
다자,52,140
바사,65,167
아하,75,177
바라,74,149
카바,42,165
차마,54,153
차아,68,173
라사,74,182
라차,64,165
하아,69,168
카나,89,165
라하,75,150
라타,80,171
카타,58,142
차자,93,141
타마,57,175
아라,49,155
가라,83,164
바바,76,193
가라,90,190
하다,72,170
사아,66,158
차파,87,176
타카,59,161
라바,45,192
자차,53,181
타타,46,166
차타,44,163
라마,63,182
자자,43,165
하다,73,195
다다,95,199
가마,85,175
카라,55,192
하카,53,155
카차,53,179
하하,93,142
파파,47,158
파사,68,146
사자,95,178
카사,48,174
하카,68,143
나가,57,149
카라,76,161
차나,41,194
차차,54,148
아카,93,196
카파,56,179
사하,41,184
사자,89,167
하아,44,142
가바,96,178
차차,43,195
사마,91,149
마파,84,150
자카,87,180
마파,70,193
파아,51,153
라마,47,148
파타,63,153
자바,42,195
하아,45,187
타나,74,191
카나,50,180
라마,41,164
하마,50,166
사가,55,151
파파,86,140
하가,67,166
파자,95,190
파타,66,188
파마,84,183
라바,74,158
하파,52,185
하마,76,141
타가,52,144
라마,74,186
카파,68,169
라차,86,140
라아,41,160
하자,70,153
사라,46,189
다카,76,189
마바,46,144
타마,66,195
마마,43,165
자다,72,178
차라,98,197
차다,48,175
사바,57,144
라아,51,173
마가,83,142
아타,92,186
파사,75,175
라마,91,152
카다,63,167
마아,98,149
카파,41,159
바가,91,181
자나,88,189
차바,81,162
자가,54,166
다카,78,193
파아,58,156
라마,94,163
사아,87,194
자라,44,159
타타,87,192
차카,70,168
아하,82,142
라차,97,178
하타,42,145
라나,58,158
하하,71,141
카타,48,195
다바,69,159
차자,65,175
바가,99,141
아사,65,176
바가,40,182
파카,98,160
카자,42,140
라나,50,196
카차,69,147
타다,63,178
사다,92,185
타타,97,177
마타,73,175
타타,86,183
하타,84,195
라타,83,174
아나,56,193
라카,51,157
사라,64,156
다가,71,169
바다,93,198
마사,41,186
하하,50,192
라바,66,192
아가,75,167
라아,94,150
아마,71,196
카카,73,142
바자,80,145
카차,52,158
하바,61,188
다가,68,149
아라,52,176
카자,71,168
차나,56,186
바타,84,156
라파,70,164
바자,64,180
가마,59,144
나카,97,181
카나,42,172
사다,40,198
하차,55,190
타하,66,149
파다,63,160
아다,47,170
사타,55,193
사타,43,166
가사,99,197
파마,83,157
가나,44,194
차타,84,197
카하,46,182
나차,82,180
사나,88,174
사나,90,175
파파,95,173
카카,65,158
카카,80,172
가사,45,165
자마,82,162
타파,92,141
사자,50,162
카하,88,185
파마,57,154
하바,78,198
파라,82,151
카바,93,177
파하,99,172
자사,47,198
사가,49,143
하하,44,168
마하,46,143
다타,40,195
하가,59,164
파파,69,166
타사,50,181
차아,43,191
카라,76,191
라하,56,189
타아,54,155
하타,71,164
카하,90,187
아가,74,157
라하,50,193
나파,82,149
아파,89,182
하타,78,156
나자,59,195
라사,45,190
마바,68,190
라바,62,183
사타,88,163
가가,72,162
타가,42,199
파다,69,191
마마,73,141
파마,63,173
다자,72,141
나다,86,197
카마,67,168
자라,50,164
나나,68,143
다가,58,195
카아,85,155
바바,65,176
나나,64,162
다마,41,149
가바,62,170
아파,59,164
나차,98,173
마차,81,157
다다,88,143
파타,74,159
타타,93,150
자가,65,182
마차,51,159
파라,45,153
사차,82,164
카파,95,161
바파,76,182
타나,48,175
차타,85,191
마자,68,180
하카,64,191
나타,98,158
다자,53,178
가자,60,154
차가,88,183
하나,41,175
바카,97,145
바마,65,172
마아,95,172
아마,54,177
바하,60,163
사타,89,191
파아,95,148
파자,78,157
파타,93,171
사사,99,180
파자,69,168
마타,63,167
하카,79,193
가라,58,166
가다,41,180
파아,55,141
사라,46,190
바마,47,150
바카,94,178
아나,51,195
카차,97,148
사카,78,191
가하,43,166
다나,93,186
가라,96,167
아라,56,178
차자,49,189
하다,51,175
나아,99,163
하마,91,154
파타,86,174
파타,69,171
아마,89,198
나자,74,195
하파,50,196
파바,79,170
가사,73,166
차사,58,193
나아,61,173
파파,48,154
자아,75,154
자타,98,152
아바,62,178
아아,45,189
카카,46,166
타다,61,154
카바,62,166
사카,52,170
차라,86,161
다아,63,166
사파,83,170
하타,95,182
자사,56,193
자다,54,164
바사,70,174
차나,53,165
차사,65,149
다하,94,150
하나,45,194
라마,80,179
하카,83,198
라자,76,155
카라,76,181
자카,71,142
사다,74,145
사다,98,197
아나,73,192
차자,77,173
카파,60,180
라마,99,174
하나,85,176
마아,56,171
라아,79,181
바하,82,149
파바,74,147
다가,74,161
파라,62,176
가카,50,142
바라,79,165
사하,57,149
마타,93,147
나마,56,165
아가,72,167
라자,67,158
카바,56,184
타자,46,195
타아,99,168
파나,81,169
타바,83,187
파아,85,157
아차,91,142
라자,89,151
파가,74,165
마타,83,145
카사,96,176
라라,70,154
타아,69,198
카다,94,151
아사,43,185
마아,48,197
마차,96,154
가사,83,197
사자,89,153
사라,43,173
파카,62,162
나사,55,177
파차,81,152
자라,70,145
가차,58,161
가마,92,175
자라,64,148
차바,99,165
하가,40,145
다자,77,172
타하,97,149
바아,53,187
자가,45,177
가사,47,175
마가,99,175
아사,96,153
바타,67,168
가하,82,181
마하,61,194
바차,97,144
자라,89,179
나타,88,184
자가,70,167
바다,52,156
마타,55,148
마마,97,162
카마,88,182
바다,42,182
카마,78,181
나가,78,152
나아,67,144
타마,49,166
바카,57,181
가타,61,193
아라,58,178
카자,99,167
차다,88,181
파차,98,172
마차,95,171
타차,93,179
아하,87,184
가자,83,143
차하,61,152
파하,98,174
타라,70,161
마사,78,186
마사,66,172
다하,56,161
다하,95,174
파차,85,199
카카,46,168
나라,41,149
파아,84,174
타나,70,197
아사,52,184
타사,62,192
사나,58,192
바자,51,160
차자,53,163
타바,98,174
가가,83,158
마차,90,199
라하,54,155
아카,87,165
가다,44,194
가타,93,186
가타,79,157
라아,56,173
파라,81,189
카다,57,176
다라,44,174
나파,60,177
사파,41,199
가아,48,155
다아,62,192
나마,79,165
아다,88,148
나자,78,183
마파,88,146
아타,84,143
나아,55,188
가라,51,164
나아,56,183
하아,46,169
파라,92,172
타카,51,194
라사,81,147
마사,99,175
마파,70,189
타파,61,143
파사,51,161
자사,78,140
파차,98,197
가자,40,197
파바,58,154
마바,47,140
아타,78,179
하마,43,170
나바,69,178
파가,90,175
사아,80,197
다파,99,193
자다,47,185
차자,43,167
다사,69,199
다파,62,159
사아,98,144
하다,48,192
카라,43,192
마라,65,151
나마,74,165
카하,86,156
가가,81,144
가아,70,167
하카,49,171
자파,79,194
타아,64,154
카바,58,141
나자,81,179
카파,63,152
카하,68,148
다사,90,196
가나,53,156
하하,70,157
타하,57,178
사라,46,162
나가,87,199
파가,88,174
하타,76,192
파파,80,164
마파,62,154
아아,76,146
다아,48,195
마파,74,198
가바,47,146
다나,43,150
아파,47,165
바나,49,168
사나,84,158
타가,81,196
아나,99,142
하마,59,145
마사,61,199
타타,74,156
사하,64,165
다가,71,149
바사,40,164
파사,90,175
아자,56,159
가타,95,188
바바,67,195
다하,50,140
타카,61,185
타마,89,172
카다,51,182
아나,40,148
사가,99,158
나카,40,188
파바,70,183
사파,46,151
가사,43,165
자다,51,161
자바,80,157
차자,69,180
차가,90,186
라하,60,188
하타,42,155
파아,47,158
가바,63,198
마아,97,162
사차,66,192
가사,71,161
차파,93,192
카마,43,168
아차,41,174
가사,54,158
라하,85,190
가하,95,169
나타,69,169
다사,60,144
바차,41,158
다사,87,160
사하,73,158
자사,73,140
사마,96,183
나사,73,180
파아,81,186
라라,87,152
자다,41,158
파사,91,168
바파,76,189
타라,81,162
카가,81,199
바차,48,172
자가,83,147
카라,66,148
라파,96,184
타차,46,153
하타,91,196
파카,81,172
하타,64,159
바차,88,187
자차,94,151
마카,84,191
다카,95,179
차라,95,142
하라,87,144
마하,56,194
자사,71,166
바마,89,164
바타,72,151
사바,72,199
가가,80,160
바아,43,170
아파,57,147
차자,73,182
바아,85,150
바타,47,180
다사,74,171
가사,90,162
사아,67,191
바바,47,157
바아,87,172
타파,56,149
바아,60,178
타라,48,171
하라,61,188
하하,42,160
나파,85,162
아차,91,146
바차,74,189
파바,70,184
사차,68,143
바차,58,165
카나,40,145
차라,87,152
카나,75,174
카마,43,192
차사,95,158
사라,40,152
카마,85,179
다사,57,157
차차,77,192
타타,67,166
하차,84,157
라나,65,187
파사,75,140
나하,81,170
마파,67,165
마자,51,187
타사,94,142
다라,79,196
다라,43,169
파하,63,155
다마,75,177
카다,52,196
마하,84,177
파아,94,186
아나,62,141
파아,52,174
파다,99,192
카나,49,193
사나,55,173
카라,42,177
나마,55,192
라마,75,163
카바,50,140
아가,41,157
가사,99,190
하타,51,172
자바,40,190
자라,52,194
자나,62,175
라하,47,150
가마,89,168
자사,79,188
사아,99,169
하하,75,160
마마,58,183
나가,69,153
가라,72,159
가마,54,145
마파,63,182
가바,58,167
